,Mod_Inf,Mod_Lng_Inf,Mod_Ctl,Mod_Lng_Ctl,Genes_diff,Perc_diff
1,mod_merged_tomato2,218,mod_merged_brown3,39,218,100
2,mod_merged_tomato2,218,mod_merged_navajowhite1,87,218,100
3,mod_merged_tomato2,218,mod_merged_mediumpurple3,109,218,100
4,mod_merged_tomato2,218,mod_merged_firebrick2,210,216,99.08256880733946
5,mod_merged_tomato2,218,mod_merged_deepskyblue,834,214,98.1651376146789
6,mod_merged_tomato2,218,mod_merged_lightblue,635,206,94.4954128440367
7,mod_merged_tomato2,218,mod_merged_tan1,33,218,100
8,mod_merged_tomato2,218,mod_merged_antiquewhite3,764,217,99.54128440366972
9,mod_merged_tomato2,218,mod_merged_coral3,2024,180,82.56880733944953
10,mod_merged_tomato2,218,mod_merged_darkolivegreen2,1175,181,83.02752293577981
11,mod_merged_tomato2,218,mod_merged_magenta2,204,218,100
12,mod_merged_tomato2,218,mod_merged_antiquewhite,577,201,92.20183486238533
13,mod_merged_tomato2,218,mod_merged_orange1,95,214,98.1651376146789
14,mod_merged_tomato2,218,mod_merged_coral1,141,218,100
15,mod_merged_tomato2,218,mod_merged_darkolivegreen4,1792,215,98.62385321100918
16,mod_merged_tomato2,218,mod_merged_mediumpurple1,273,216,99.08256880733946
17,mod_merged_tomato2,218,mod_merged_navajowhite3,492,218,100
18,mod_merged_tomato2,218,mod_merged_lightblue1,195,215,98.62385321100918
19,mod_merged_tomato2,218,mod_merged_thistle1,273,218,100
20,mod_merged_tomato2,218,mod_merged_blue3,79,218,100
21,mod_merged_tomato2,218,mod_merged_honeydew1,1047,205,94.03669724770643
22,mod_merged_tomato2,218,mod_merged_mistyrose3,33,217,99.54128440366972
23,mod_merged_tomato2,218,mod_merged_firebrick3,1215,207,94.95412844036697
24,mod_merged_chocolate,818,mod_merged_brown3,39,817,99.87775061124694
25,mod_merged_chocolate,818,mod_merged_navajowhite1,87,815,99.63325183374083
26,mod_merged_chocolate,818,mod_merged_mediumpurple3,109,809,98.8997555012225
27,mod_merged_chocolate,818,mod_merged_firebrick2,210,814,99.51100244498778
28,mod_merged_chocolate,818,mod_merged_deepskyblue,834,805,98.41075794621027
29,mod_merged_chocolate,818,mod_merged_lightblue,635,809,98.8997555012225
30,mod_merged_chocolate,818,mod_merged_tan1,33,816,99.75550122249389
31,mod_merged_chocolate,818,mod_merged_antiquewhite3,764,806,98.53300733496333
32,mod_merged_chocolate,818,mod_merged_coral3,2024,758,92.66503667481662
33,mod_merged_chocolate,818,mod_merged_darkolivegreen2,1175,807,98.65525672371638
34,mod_merged_chocolate,818,mod_merged_magenta2,204,816,99.75550122249389
35,mod_merged_chocolate,818,mod_merged_antiquewhite,577,815,99.63325183374083
36,mod_merged_chocolate,818,mod_merged_orange1,95,816,99.75550122249389
37,mod_merged_chocolate,818,mod_merged_coral1,141,816,99.75550122249389
38,mod_merged_chocolate,818,mod_merged_darkolivegreen4,1792,781,95.47677261613691
39,mod_merged_chocolate,818,mod_merged_mediumpurple1,273,810,99.02200488997555
40,mod_merged_chocolate,818,mod_merged_navajowhite3,492,810,99.02200488997555
41,mod_merged_chocolate,818,mod_merged_lightblue1,195,814,99.51100244498778
42,mod_merged_chocolate,818,mod_merged_thistle1,273,812,99.26650366748166
43,mod_merged_chocolate,818,mod_merged_blue3,79,815,99.63325183374083
44,mod_merged_chocolate,818,mod_merged_honeydew1,1047,797,97.43276283618582
45,mod_merged_chocolate,818,mod_merged_mistyrose3,33,813,99.38875305623472
46,mod_merged_chocolate,818,mod_merged_firebrick3,1215,797,97.43276283618582
47,mod_merged_indianred,160,mod_merged_brown3,39,160,100
48,mod_merged_indianred,160,mod_merged_navajowhite1,87,159,99.375
49,mod_merged_indianred,160,mod_merged_mediumpurple3,109,160,100
50,mod_merged_indianred,160,mod_merged_firebrick2,210,157,98.125
51,mod_merged_indianred,160,mod_merged_deepskyblue,834,151,94.375
52,mod_merged_indianred,160,mod_merged_lightblue,635,153,95.625
53,mod_merged_indianred,160,mod_merged_tan1,33,160,100
54,mod_merged_indianred,160,mod_merged_antiquewhite3,764,155,96.875
55,mod_merged_indianred,160,mod_merged_coral3,2024,152,95.0
56,mod_merged_indianred,160,mod_merged_darkolivegreen2,1175,149,93.125
57,mod_merged_indianred,160,mod_merged_magenta2,204,160,100
58,mod_merged_indianred,160,mod_merged_antiquewhite,577,155,96.875
59,mod_merged_indianred,160,mod_merged_orange1,95,160,100
60,mod_merged_indianred,160,mod_merged_coral1,141,160,100
61,mod_merged_indianred,160,mod_merged_darkolivegreen4,1792,146,91.25
62,mod_merged_indianred,160,mod_merged_mediumpurple1,273,160,100
63,mod_merged_indianred,160,mod_merged_navajowhite3,492,149,93.125
64,mod_merged_indianred,160,mod_merged_lightblue1,195,160,100
65,mod_merged_indianred,160,mod_merged_thistle1,273,158,98.75
66,mod_merged_indianred,160,mod_merged_blue3,79,160,100
67,mod_merged_indianred,160,mod_merged_honeydew1,1047,155,96.875
68,mod_merged_indianred,160,mod_merged_mistyrose3,33,160,100
69,mod_merged_indianred,160,mod_merged_firebrick3,1215,151,94.375
